nama,review,bintang
Samuel W. G.,,5
Danny F Rahmansyah (DanzFab),,5
Syarif Hidayat,,5
Wahid Bergud,,5
Roar Nation,,5
Huda Khabibah,,5
Hasna Satya Dini,,5
Andi 884,,5
RETNO AITADIANTARI1106108974,,5
Aditya Roni,,5
agus zaini,,3
Tyo Pratama,,3
Novri Hidayat,,4
Ade Fachrurozi,,4
ABCD,,5
Umar fitroh,,5
Edi Sugiono,,5
Dadan Ramdani,,5
Hari Yanto,,5
Yadi Aryanto,,5
Kailah Panjaitan,,5
Ahmad Wildan,,5
Nurlaili Amalina,,1
Intan Marsa,,1
Zico Simatupang,,5
Maria Omberep,,5
Prasetyo Adi Nugroho,,5
Otong Supriatna,,5
LUTHFIAH NOOR,,2
Cornellius,,2
Muhamad Samsudin,,5
Lucky Prabowo,,5
Andiirsal irsal,,5
Dhami Johar Damiri,,5
Dio Steven Bato T,,5
agus ramadhan,,5
Saya Waras,,5
Ardiansyah R12,,5
Al Khawarizmi,,5
istin Mardhiyah,,5
FamZz Corp,,3
Asnawi Bezo,,3
Jati Eka,,5
Revanrizky Yudhatama,,5
Lina HR,,4
Putu Yasa,,4
Brian Agung,,4
Yang Dena,,4
Rama Dhanu,,5
LYDIA S SIMBOLON,,5
ahmad saybu rizki,,5
Saiful Asri,,5
Alamsyah Alam,,5
Sandi pradana,,5
Rizky Mubarok,,5
Hanez sHabika,,5
Umar Warat,,5
Martogi Johan Siagian,,5
Lukman Nur Dian Syah,,5
rizal oktavian,,5
Bedjoku.,,5
Uray harry,,5
Amanda DL,,5
Rory Ramadhan,,5
Riiena Na,,3
M. Farid Rifai,,3
chandra very,,5
Sulis Tiono,,5
Mukmintea Mukmintea,,5
Rizki Setiawan,,5
Amrilian Fahmi Primanto (Fahmi),,5
Teuku Riansyah,,5
Fredy Situngkir,,5
Purwo Adi,,5
Anicethus astrada Haloho,,4
Achmad Dwi Nusantoro,,4
Cahaya Riyadi,,5
Nurul Fauziah,,5
yenni eka andjayani,,5
yudhi woles,,5
J.A. Malta,,5
M. Franshero Nugroho,,5
,,5
,,4
,,2
,,3
,,1
Muhammad Fanani Hafifudin,,4
Hafizh Hilman Asyhari,"Untuk sekarang kampus udah bagus, banyak fasilitas yang sudah memadai. Alangkah baiknya dengan majunya fasilitas ini diimbangi dengan kinerja para staf dan dosen yang bekerja disini. Agar antara mahasiswa dan staf bisa memberikan pelayanan yang terbaik. Terutama staf fakultas yang jutek dan kadang menyepelekan kebutuhan mahasiswa. Hal ini sangat menganggu saya diwaktu saya mengurus administrasi baik untuk sidang maupun wisuda. Tolong lebih di upgrade lagi lah pelayanannya, kasian kampus dah bagus bagus tapi kalau pelayanannya kureng buat apa. Kurangi pungli pungli yang di dalam kampus sihh, sayang banget kalau sekelas kampus IT PLN di dalemnya masih ada yang nyuruh beli ini itu demi nilai bagus nanti di anjungannya. Untuk dosen sudah bagus, namun masih banyak oknum” yang mencoreng nama bagus dosen. Ada yang gak pernah masuk dan juga ada yang tiba tiba masuk waktu UAS nyruh beli buku, kalau gak beli gk dpt nili bagus 😂. Semoga apresiasi dan kritik ini menjadi bahan pertimbangan staf dan dosen dikampus ini meningkat.Untuk sekarang kampus udah bagus, banyak fasilitas yang sudah memadai. Alangkah baiknya dengan majunya fasilitas ini diimbangi dengan kinerja para staf dan dosen yang bekerja disini. Agar antara mahasiswa dan staf bisa memberikan pelayanan …Lengkapnya",2
The Scrivener's Presenter Global,,2
MUHAMMAD RIZKY,"Sangat cocok untuk abis SMA belajar teknik kelistrikan, setiap Fakultas tuh ya punya banyak laboratorium yg modern sesuai perkembangan teknologi modern.",5
Si Jabat,,5
Aprida Siahaan,Ruang kelas bagus. Ada fasilitas yg mumpuniJuga ada jurusan baru jadi lebih banyak dan lengkap kayakS1 Teknik LingkunganS1. GeografiS1. Teknik Sistem EnergiS1. Rekayasa Keamanan SiberS1. Kendaraan ListrikS2. Teknik SipilS2 Ilmu KomputerS2 Teknik MesinRuang kelas bagus. Ada fasilitas yg mumpuniJuga ada jurusan baru jadi lebih banyak dan lengkap kayak …Lengkapnya,5
Irvan Adianto,,5
Cahyana Wiyana,"Kampus kesayangan. Mudah dijangkau karna terlihat dengan sangat jelas dari tol dan dari jalanan biasa. Semoga selalu maju ya dan lekas ganti jadi ITT-PLN. Banyak kenangan dan pelajaran berharga didapat dari kampus ini. Alat alat pendukung praktek tergolong lengkap. Karna memang masih yayasan PLN, mungkin alat ketenagalistrikan yang lengkap ini di dapat dari PLN itu sendiri (hibah?). 😊👍Kampus kesayangan. Mudah dijangkau karna terlihat dengan sangat jelas dari tol dan dari jalanan biasa. Semoga selalu maju ya dan lekas ganti jadi ITT-PLN. Banyak kenangan dan pelajaran berharga didapat dari kampus ini. Alat alat pendukung …Lengkapnya",5
Aldian Rahman,,5
maryudi yuanto,"Apakah benar klo lulusan itpln gampang cari kerja, apa dicari dari kampus nya. ?",2
Arif Febrianto,,2
